Bank_Name,Cust_Name,Account_No,Loan_Type,Due_Amount,Due_Date,Priority,Recovered_by_Agent,Recovered_by_AI,Recovered_by_Field_Agent,Recovered_Date,Recovered_Amount,Remaining_Due_Amount
ICICI Bank,Taylor Parker,XXXX2749,Car,414647.94,05-06-2025,Medium,,1,,05-12-2025,253682.96,4258.16
SBI,Jordan Gonzalez,XXXX8900,House,115045.99,22-05-2025,Medium,1,,,01-06-2025,313021.85,23114.17
Kotak Mahindra,William Stark,XXXX2937,Car,316446.59,10-11-2023,Low,1,,,21-09-2023,216295.06,22186.03
HDFC Bank,Cynthia Frye,XXXX4226,Car,288498.23,20-09-2023,High,1,,,24-02-2023,,0
Axis Bank,Karen Walker,XXXX3191,Car,476862.85,30-04-2025,High,1,,,12-01-2025,149928.46,10845
HDFC Bank,Michele Navarro,XXXX9559,Car,330651.9,31-07-2025,Low,,1,,22-02-2025,187421.16,17664.86
SBI,Katherine Maddox,XXXX9754,House,314411.43,03-07-2024,Low,1,,,27-08-2024,,0
ICICI Bank,Marc Michael,XXXX2375,House,410605.9,25-07-2024,Medium,1,,,27-12-2024,291226.36,16999.89
Axis Bank,Brian Hamilton,XXXX9198,House,269534.22,17-02-2025,Low,1,,,28-06-2025,63489.58,5818.18
ICICI Bank,Christian Strickland DDS,XXXX3632,House,110716.27,17-12-2023,Medium,,,1,15-08-2023,144928.32,12861.17
HDFC Bank,Shawn Williams,XXXX7346,Car,65193.82,01-05-2025,Low,,1,,08-08-2025,185704.43,6489.48
Axis Bank,Caitlyn Hansen,XXXX4805,House,397641.03,18-10-2024,High,,1,,23-04-2024,46580.88,3920.69
Axis Bank,William Burch,XXXX5228,House,54049.49,23-01-2025,High,,1,,25-04-2025,223262,4447.23
Kotak Mahindra,Terry French,XXXX6084,Car,325959.87,23-11-2024,High,,1,,12-06-2024,332438.43,13595.18
ICICI Bank,Julie Bishop,XXXX9964,Car,385342.15,09-10-2023,Low,,,1,16-10-2023,438481.23,2991.81
Kotak Mahindra,Antonio Sanders,XXXX6217,Car,182117.12,20-03-2025,High,,,1,20-02-2025,,0
HDFC Bank,Richard Adams,XXXX8870,Car,414007.69,19-05-2025,High,1,,,26-01-2025,223730.84,7631.26
Kotak Mahindra,Matthew Jacobs,XXXX7894,Car,108255.65,22-09-2023,Medium,1,,,17-02-2023,384071.01,35795.48
HDFC Bank,Robert Ford,XXXX3881,House,90935.56,27-10-2023,High,1,,,23-05-2023,309904.6,22044.09
Axis Bank,Laura Turner,XXXX8694,Car,313807.56,09-07-2024,High,1,,,14-09-2024,,0
ICICI Bank,Rachel Armstrong,XXXX9985,House,133154.41,27-10-2024,Low,,,1,21-01-2024,,0
Kotak Mahindra,Travis Morris,XXXX6503,Car,232464.95,26-01-2024,Low,1,,,05-11-2024,,0
Kotak Mahindra,Manuel Pittman,XXXX8171,Car,231323.11,16-02-2024,Medium,1,,,20-11-2024,,0
HDFC Bank,Randall Baker,XXXX7343,Car,395860.12,17-08-2024,High,,1,,19-01-2024,450836.26,16740.78
HDFC Bank,Christopher Beasley,XXXX8026,Car,493097.86,12-11-2023,Medium,,1,,24-03-2023,340856.39,30928.92
ICICI Bank,Robin Atkins,XXXX6049,House,61034.96,03-10-2024,Medium,,,1,15-08-2024,,0
ICICI Bank,Mrs. Heather Gonzales,XXXX3448,Car,152163.44,15-06-2024,Low,1,,,08-10-2024,,0
Axis Bank,Timothy Obrien,XXXX1401,House,114056.35,11-06-2024,Low,1,,,10-04-2024,260088.1,8315.38
ICICI Bank,Shannon Daugherty,XXXX9664,Car,259719.81,27-04-2025,Low,1,,,14-10-2025,218130.32,18694.67
SBI,Dr. Charles Moore,XXXX9747,House,261877.77,29-09-2023,Low,,1,,03-04-2023,320537.21,14953.59
SBI,Bryce Walker,XXXX4558,Car,290431.96,13-08-2024,Medium,,,1,29-03-2024,270682.54,27472.42
SBI,Mrs. Crystal Ward,XXXX9605,Car,236027.71,11-03-2025,High,1,,,04-12-2025,,0
SBI,Susan Thompson,XXXX4909,Car,392121.2,15-06-2024,High,1,,,12-07-2024,242149.59,2281.86
Axis Bank,Jeremiah Coleman,XXXX2533,House,415561,24-02-2025,Low,1,,,08-10-2025,366784.22,38388.24
HDFC Bank,Jon Morales,XXXX7644,Car,499219.74,18-08-2023,Low,1,,,17-06-2023,92052.04,482.15
ICICI Bank,Justin Lynch,XXXX3700,House,209201.23,30-10-2024,Medium,,1,,11-06-2024,450925.58,22550.39
Kotak Mahindra,Jordan Singh,XXXX5711,Car,278086.58,23-07-2025,High,1,,,01-02-2025,,0
ICICI Bank,Nancy Irwin,XXXX1339,Car,113519.74,29-12-2023,Medium,,1,,30-05-2023,,0
Axis Bank,Natasha Campbell,XXXX1580,Car,90400.58,18-04-2025,Medium,1,,,06-02-2025,390215.72,7222.42
SBI,Kevin Flowers,XXXX1556,Car,55839.54,09-02-2025,Low,1,,,05-09-2025,219199.22,3326.3
HDFC Bank,Colleen Cabrera,XXXX6362,Car,286813.2,02-11-2023,Medium,,1,,20-06-2023,203106.47,353.99
Kotak Mahindra,Rebecca Stewart,XXXX5205,Car,83799.14,13-02-2024,High,1,,,10-04-2024,,0
HDFC Bank,Nicholas Rodriguez,XXXX2205,Car,80201.17,21-08-2023,High,,,1,20-09-2023,258052.54,10906.74
SBI,Barbara Wells,XXXX1394,House,63719.17,03-01-2025,High,,1,,17-05-2025,162635.94,1886.59
SBI,Melissa Cohen,XXXX6478,Car,315891.45,29-06-2025,High,1,,,23-04-2025,401014.57,28603.3
ICICI Bank,Beverly Torres,XXXX3117,Car,92970.9,21-03-2025,Medium,,1,,30-01-2025,428369.54,42121.64
Kotak Mahindra,Laura Ryan,XXXX8297,Car,372210.77,27-05-2024,High,,1,,29-04-2024,370997.25,13940.54
Kotak Mahindra,Elizabeth Brooks,XXXX2923,House,362368.85,14-10-2023,Medium,1,,,14-10-2023,386572.84,22822.47
HDFC Bank,Tammy Nelson,XXXX5032,House,486108.95,02-05-2025,Medium,1,,,16-02-2025,325946.15,23976.41
SBI,Kenneth Jones,XXXX5992,House,475786.14,14-03-2025,Low,,1,,14-12-2025,173190.99,9375.71
Axis Bank,Mrs. Vanessa Jordan MD,XXXX8157,Car,84605.15,11-01-2024,High,1,,,09-01-2024,102393.17,11296.34
Axis Bank,Kyle Carpenter,XXXX2156,House,362931.89,31-07-2025,Low,,,1,05-07-2025,485427.59,13317.42
SBI,Joanna Wright,XXXX4481,Car,298006.1,18-09-2024,Low,,1,,24-01-2024,344192.64,22752.09
Kotak Mahindra,Sean Pineda,XXXX8732,House,446581.95,14-11-2023,Low,1,,,13-07-2023,301363.72,6287.85
HDFC Bank,Samantha Rasmussen,XXXX8618,Car,97398.35,19-06-2024,Low,1,,,31-05-2024,,0
HDFC Bank,Jacob Salas,XXXX2306,Car,344465.18,10-12-2023,Medium,,1,,07-08-2023,,0
ICICI Bank,Tammy Sanchez,XXXX4498,Car,338727.29,25-08-2023,High,,,1,06-06-2023,194092.24,13607.52
Kotak Mahindra,David Warren,XXXX7199,House,234670.42,06-05-2024,Low,1,,,16-08-2024,340679.75,32606.31
SBI,Travis Schultz,XXXX5091,House,54023.68,03-03-2025,High,1,,,25-08-2025,276462.46,4520.02
SBI,Michael Webster,XXXX7566,House,159651.68,14-04-2025,Low,1,,,28-10-2025,297380.24,30306.53
ICICI Bank,Heather Golden,XXXX5209,Car,358004.68,28-01-2025,High,,1,,16-07-2025,459748.27,16275.49
HDFC Bank,Lisa Wilson,XXXX3135,House,437080.59,11-04-2024,High,,1,,08-06-2024,104891.56,8005.78
ICICI Bank,Kyle Woodard,XXXX9523,Car,229188.95,11-02-2025,Medium,1,,,13-08-2025,359751.95,32981.8
Kotak Mahindra,Ryan Ellis,XXXX2679,House,273955.52,17-09-2024,Low,1,,,27-09-2024,315258.87,17492.51
HDFC Bank,Adrian Perez MD,XXXX8355,Car,224781.1,22-07-2024,Medium,1,,,12-07-2024,69271.52,6970.13
Axis Bank,Cynthia Larson,XXXX8267,House,173865,19-08-2023,High,1,,,17-07-2023,452086.04,30518.42
Kotak Mahindra,Karen Walker,XXXX5832,Car,237549.53,27-12-2024,Low,1,,,15-12-2024,118723.09,1643.24
Kotak Mahindra,Jason Bell,XXXX5189,Car,88198.5,21-08-2024,Medium,1,,,15-06-2024,144688.49,12696.03
Kotak Mahindra,Alyssa Medina,XXXX6834,Car,474012.79,22-11-2023,High,,1,,19-08-2023,,0
Axis Bank,Andrew Davis,XXXX8845,House,64540.54,11-02-2024,Medium,1,,,30-10-2024,70311.29,5228.28
SBI,Jacob Martinez,XXXX9803,House,372270.5,18-07-2025,Low,1,,,11-02-2025,219009.32,4270.79
Axis Bank,Alyssa Ramos,XXXX8954,House,155553.4,20-07-2025,Medium,,1,,28-07-2025,215805.03,8935.16
HDFC Bank,Ann Baker,XXXX7408,House,100435.88,25-03-2025,High,,1,,28-01-2025,,0
ICICI Bank,Natasha Wilson,XXXX5169,Car,286862.55,04-04-2024,High,1,,,10-02-2024,257660.75,2233.24
ICICI Bank,Tyrone Wagner,XXXX1729,House,213797.78,16-09-2024,High,1,,,18-02-2024,215526.6,10302.12
SBI,Erika Ford,XXXX6381,House,325468.14,04-10-2023,Medium,1,,,31-03-2023,305459.68,26967.47
Kotak Mahindra,Lauren Owens,XXXX3971,Car,335051.69,07-06-2025,High,1,,,15-11-2025,371799.61,37336.35
SBI,Cheryl Brown,XXXX3861,House,143132.22,17-01-2025,Medium,,1,,09-05-2025,99756.24,6387.47
HDFC Bank,Jose Fowler,XXXX4210,House,418711.15,12-01-2024,High,,1,,03-11-2024,477711.37,19301.28
SBI,Kimberly Reeves,XXXX4059,House,451594.31,18-08-2023,High,1,,,14-11-2023,283043.71,24228.11
Kotak Mahindra,Heather Ramirez,XXXX4937,Car,313262.14,18-05-2024,Medium,,1,,29-08-2024,422390.37,40516
Kotak Mahindra,Rebecca Evans,XXXX2588,House,482671.97,02-03-2024,Low,,1,,02-06-2024,418770.41,10246.91
Axis Bank,Curtis Miller,XXXX8189,House,473389.91,13-05-2024,Low,1,,,15-07-2024,127584.97,11798.96
ICICI Bank,Natasha Morales,XXXX2887,Car,108484.34,22-05-2024,Low,1,,,16-09-2024,216442.08,20159.65
SBI,Cynthia Holland,XXXX4541,Car,292047.69,24-03-2024,High,,,1,26-11-2024,358167.73,36449.95
SBI,Amy Bennett,XXXX7907,House,242788.72,26-01-2025,High,1,,,28-03-2025,294867.99,5020.88
HDFC Bank,Jenna Henderson,XXXX3826,House,235298.7,30-08-2024,Low,,1,,26-04-2024,99252.45,9201.61
Axis Bank,Christopher Allen,XXXX7251,Car,98678.27,26-09-2023,Low,1,,,06-06-2023,405921.23,39489.62
Axis Bank,Thomas Crawford,XXXX7153,House,408961.9,19-06-2024,Medium,1,,,09-12-2024,247113.07,11042
Kotak Mahindra,Justin Lee,XXXX9251,Car,358238.66,02-06-2024,Low,,,1,04-07-2024,314732.14,24169.4
SBI,Shelia Ramirez,XXXX9611,House,436876.94,28-03-2024,Low,,1,,21-03-2024,384663.73,3515.58
Kotak Mahindra,Mary Brown,XXXX4703,House,262802.13,04-02-2024,Low,1,,,16-06-2024,453254.51,45799.94
ICICI Bank,Mr. Bradley Oneill,XXXX5917,House,148627.94,11-01-2024,Low,,1,,19-01-2024,,0
SBI,Maureen Davis,XXXX1178,Car,465967.47,02-11-2024,Medium,1,,,13-06-2024,,0
ICICI Bank,Sabrina Malone,XXXX2934,House,426012.39,21-05-2024,Medium,,1,,22-01-2024,,0
ICICI Bank,Tiffany Oneill,XXXX6358,House,357728.83,11-06-2025,Low,,,1,12-03-2025,46986.02,4350.61
SBI,Gregory Cortez,XXXX1490,House,319166.58,17-09-2023,Medium,1,,,17-08-2023,344684.02,475.9
Axis Bank,Ashley Moreno,XXXX4633,House,90648.9,09-07-2025,High,1,,,17-12-2025,112649.46,4702.96
SBI,Kevin Ballard,XXXX2142,Car,204177.26,14-02-2024,Low,1,,,01-05-2024,149500.74,4051.33
Axis Bank,Amanda Salazar,XXXX9425,Car,113217.53,03-06-2024,Low,,1,,29-11-2024,282930.07,24804.57
SBI,Jennifer Johnson,XXXX9387,House,286398.42,09-03-2024,Medium,,1,,04-02-2024,278875.2,19203.86
Kotak Mahindra,Laura Pierce MD,XXXX6871,House,432016.39,30-04-2025,High,,,1,25-11-2025,237249.45,15501.51
Kotak Mahindra,Christopher Williams,XXXX5533,Car,222121.9,11-09-2023,High,,1,,22-06-2023,,0
Axis Bank,Alejandro Terry,XXXX9386,Car,278985.71,01-10-2023,Medium,,1,,22-12-2023,479933.84,8694.21
Kotak Mahindra,Austin Rice,XXXX8284,House,295917.37,25-09-2023,High,,1,,12-08-2023,213229.75,1149.35
HDFC Bank,Bill Ray,XXXX5920,Car,57201.52,22-06-2025,Medium,1,,,03-01-2025,52081.55,2875.99
Axis Bank,Jennifer Gomez,XXXX4226,Car,305245.86,03-01-2025,Medium,1,,,28-07-2025,106128.82,3203.2
Axis Bank,Rebecca Green,XXXX2927,Car,357348.64,16-01-2025,Low,1,,,26-06-2025,188683.76,18096.2
SBI,Mia Perez,XXXX2903,Car,426008.76,31-05-2024,High,1,,,21-03-2024,55684.31,696.86
Kotak Mahindra,Charlene Anthony,XXXX3074,House,176990.42,10-05-2025,Low,,1,,12-09-2025,230794.04,8527.43
SBI,Alexandra Meza,XXXX9390,House,349530.97,05-04-2025,High,1,,,30-04-2025,122134.27,7154.8
Kotak Mahindra,James Shah,XXXX3303,Car,408134.32,27-11-2023,Medium,,1,,11-04-2023,137159.92,2944.7
HDFC Bank,Jeremy Calderon,XXXX5828,Car,472227.93,02-06-2025,Medium,1,,,10-09-2025,98656.02,7629.85
Axis Bank,Michelle Acevedo,XXXX3841,Car,257793.02,08-09-2023,High,,1,,12-10-2023,102587.12,6075.4
SBI,Allison Perkins,XXXX3842,Car,340857.39,18-11-2023,High,1,,,21-11-2023,94126.92,4282.17
HDFC Bank,Kathryn Harrison,XXXX3349,House,162293.97,08-12-2023,High,1,,,01-12-2023,,0
HDFC Bank,Ryan Simmons PhD,XXXX8783,Car,311298.19,16-12-2024,High,,,1,08-03-2024,176428.6,14544.79
Axis Bank,Zachary Jordan,XXXX5279,Car,349081.13,14-03-2024,Medium,,1,,13-08-2024,,0
Kotak Mahindra,Stephanie Ford,XXXX9042,Car,283223.19,11-11-2023,High,1,,,01-07-2023,444230.75,45916.33
HDFC Bank,Dr. Bill Farmer MD,XXXX1574,Car,59290.53,10-03-2024,High,,1,,13-02-2024,270309.41,8652.57
HDFC Bank,Bailey Smith,XXXX3111,House,240061.98,13-04-2025,High,1,,,07-02-2025,,0
Axis Bank,Troy Brady,XXXX5398,House,460816.7,24-02-2025,Medium,,1,,04-08-2025,168365.84,7551.65
Kotak Mahindra,David Anderson,XXXX8820,House,278063.87,20-06-2024,Medium,1,,,18-01-2024,200463.81,15921.35
Axis Bank,Brian Parsons,XXXX1904,House,308813.54,29-08-2023,Low,1,,,30-08-2023,473937.82,23686.97
ICICI Bank,Rachel Hughes,XXXX2870,Car,378475.02,29-12-2023,Low,,1,,27-05-2023,401175.83,39976.35
ICICI Bank,Dawn Rose,XXXX5642,House,277061.62,13-04-2024,Medium,,,1,18-11-2024,468277.13,6551.08
HDFC Bank,Danielle Miller,XXXX7085,House,383170.93,24-04-2025,Low,,1,,18-01-2025,,0
HDFC Bank,Nicole Jones,XXXX2348,House,249793.44,05-11-2023,Medium,,1,,26-07-2023,,0
SBI,Timothy Wilson,XXXX8271,Car,155786.31,14-03-2025,Low,,1,,06-01-2025,97266.03,8272.7
HDFC Bank,Kristine Robertson,XXXX2633,House,449072.95,04-07-2025,High,1,,,24-12-2025,,0
HDFC Bank,Sarah Wilson,XXXX9764,House,67357.02,28-04-2025,Medium,,1,,01-11-2025,424084.04,16277.3
Kotak Mahindra,Christine Harding,XXXX4353,Car,153160.84,11-01-2025,Medium,1,,,30-01-2025,,0
Axis Bank,Katherine Deleon,XXXX6554,Car,83190.87,03-02-2024,High,,1,,18-11-2024,,0
Axis Bank,Alexander Scott,XXXX3543,House,333963.74,01-11-2024,Low,1,,,03-05-2024,,0
ICICI Bank,Deborah Tucker,XXXX5267,House,109035.19,03-11-2024,High,1,,,15-02-2024,81777.21,8456.76
SBI,Jennifer Graham MD,XXXX9826,House,236386.28,26-04-2024,Medium,1,,,09-08-2024,237287.96,22788.69
HDFC Bank,Donna Hickman,XXXX1389,Car,103142.94,24-08-2024,Medium,,,1,21-11-2024,170279.98,5139.34
ICICI Bank,Tara Archer DDS,XXXX5982,House,59378.92,13-12-2024,Medium,,1,,11-06-2024,117566.1,694.63
SBI,Tanner Martin,XXXX4061,Car,177993.55,26-05-2025,Medium,1,,,19-02-2025,300839.33,2476.09
Kotak Mahindra,Joshua Wilkinson,XXXX9085,House,156504.61,25-10-2024,High,,1,,21-12-2024,,0
HDFC Bank,Shelly Greene,XXXX8683,House,172878.24,30-10-2023,Medium,1,,,10-10-2023,,0
Axis Bank,Sarah Padilla,XXXX1068,House,472088.38,28-11-2023,Medium,,1,,23-12-2023,,0
Kotak Mahindra,Stephen Guerrero,XXXX3012,House,273731.74,04-11-2024,Medium,1,,,24-11-2024,459516.29,27220.68
Kotak Mahindra,Edward Dillon,XXXX2106,Car,316824.54,22-10-2024,Low,,1,,23-02-2024,233166.36,4895.72
SBI,Jessica James,XXXX2126,House,285905.35,27-08-2023,High,1,,,18-02-2023,51405.33,4060.1
HDFC Bank,Richard Scott,XXXX3484,House,53516.88,02-01-2025,High,,1,,31-03-2025,,0
Axis Bank,Virginia Gray,XXXX7076,House,328739.03,25-01-2024,Medium,,1,,04-03-2024,,0
HDFC Bank,Stacey Warner,XXXX7579,Car,76566.51,12-10-2023,Low,,1,,27-10-2023,191000.67,7722.82
Kotak Mahindra,Paul Clark,XXXX4543,House,300318.02,04-09-2024,Medium,1,,,14-03-2024,331660.18,25532.86
SBI,Angela Jenkins,XXXX4928,Car,399956.86,06-01-2025,High,1,,,12-04-2025,76294.29,974.89
HDFC Bank,Sue Garcia,XXXX9255,Car,495058.75,16-01-2024,Low,1,,,06-01-2024,287650.04,13890.5
SBI,Aaron Krueger,XXXX1408,Car,384016.04,15-03-2024,High,,1,,25-06-2024,61802,6492.39
Axis Bank,Lawrence Travis,XXXX2924,Car,231911.45,24-10-2024,Low,,1,,15-06-2024,434436.8,19815.79
HDFC Bank,Donna Barnes,XXXX4462,House,230738.74,10-08-2024,Low,,,1,04-03-2024,162277.91,12169.64
SBI,Leon Padilla,XXXX2627,House,213901.57,23-04-2025,Medium,,1,,07-01-2025,250104.89,20122.38
ICICI Bank,Brian Sullivan,XXXX1373,Car,110970.46,06-02-2024,Low,1,,,01-08-2024,190272.68,10920.08
ICICI Bank,Heather Ray,XXXX2998,Car,202588.17,28-09-2023,Medium,,,1,02-01-2023,108430.08,11383.1
Kotak Mahindra,Karen Valencia,XXXX5403,Car,128866.12,01-07-2025,High,,,1,29-03-2025,,0
ICICI Bank,Colin Williams,XXXX6014,Car,161285.46,22-07-2024,Medium,,,1,14-10-2024,,0
HDFC Bank,Melissa Mcconnell,XXXX2790,House,102748.43,26-03-2024,Low,1,,,23-04-2024,240736.07,4989.34
Kotak Mahindra,Christine Myers,XXXX5865,House,491394.22,30-11-2024,High,1,,,05-12-2024,458716.77,33893.01
Axis Bank,Jessica Frye,XXXX4487,House,385491.59,17-03-2025,Medium,,1,,31-07-2025,370206.42,24810.81
HDFC Bank,Michael Reyes,XXXX5395,Car,430687.53,29-11-2023,Low,,1,,10-07-2023,430350.04,18121.84
ICICI Bank,Jimmy Salazar,XXXX8817,Car,249069.07,06-10-2023,High,,1,,16-12-2023,334363.38,32456.44
Axis Bank,Shawn Lawson,XXXX1614,Car,200524.48,09-12-2024,Medium,1,,,12-10-2024,228152.77,849.22
Kotak Mahindra,Richard Drake,XXXX9136,Car,95053.93,07-09-2024,Low,,,1,26-11-2024,49696.62,5374.92
Axis Bank,Amy Williams,XXXX2372,House,293550.05,10-02-2024,Medium,1,,,25-08-2024,401696.63,8313.08
HDFC Bank,Joseph Cervantes,XXXX6684,Car,263258.99,25-03-2025,Medium,,1,,27-04-2025,85709.73,2590.07
ICICI Bank,Darin Barnes,XXXX7590,Car,285964.07,27-11-2024,High,,1,,10-12-2024,,0
HDFC Bank,Michael Schmidt,XXXX5296,House,220643,17-05-2025,High,,1,,13-07-2025,375318.24,39186.54
SBI,Ryan Stewart,XXXX1699,House,260352.96,03-08-2024,Low,1,,,15-01-2024,407033.57,1070.25
Kotak Mahindra,Scott Webster,XXXX5242,House,97565.01,07-05-2024,Low,,1,,10-05-2024,245862.75,5575.89
SBI,Edward Bell,XXXX7052,Car,62156.56,31-12-2023,Low,1,,,01-04-2023,180676,6214.01
HDFC Bank,Kyle Aguilar,XXXX7077,Car,211842.59,16-12-2024,Medium,,1,,29-10-2024,103260.96,10151.81
ICICI Bank,Melody Heath,XXXX9372,Car,444247.22,21-08-2024,Medium,1,,,20-05-2024,136822.16,11645.54
Axis Bank,Todd Cross,XXXX5480,House,118853.97,24-03-2025,Medium,1,,,26-08-2025,458863.68,18365.57
Axis Bank,Christopher Ruiz,XXXX6431,House,355503.96,25-08-2023,High,1,,,13-06-2023,375347.47,3234.33
HDFC Bank,Joseph Johnson,XXXX9457,House,120607.24,12-07-2024,Low,,,1,23-11-2024,228818.09,20109.6
HDFC Bank,Amber Wilson,XXXX8115,House,330076.21,09-12-2024,Medium,,1,,30-04-2024,,0
Kotak Mahindra,Brandi Romero,XXXX6056,House,207007.25,31-05-2024,Low,,1,,17-05-2024,82177,1943.84
ICICI Bank,Wesley Jackson,XXXX2304,House,108118.9,25-12-2023,High,,1,,22-01-2023,,0
Kotak Mahindra,Audrey Jordan,XXXX8679,Car,318637.6,19-03-2025,High,,1,,18-10-2025,309165.82,14187.76
ICICI Bank,Tristan Jarvis,XXXX1062,House,445306.46,21-08-2024,Low,,1,,07-12-2024,52216.65,4959.88
ICICI Bank,Nicole Johnson,XXXX1549,House,88600.52,21-12-2024,Low,1,,,20-08-2024,,0
SBI,Patrick Perkins,XXXX3687,Car,210734.15,01-09-2023,Low,1,,,17-09-2023,180271.11,2186.33
SBI,Steven Moore,XXXX5440,Car,111661.6,02-08-2025,Low,,1,,10-10-2025,105953.43,11120.48
HDFC Bank,Erik Fritz,XXXX7007,Car,483266.88,02-05-2024,High,,1,,20-05-2024,350705.9,14954.66
SBI,Lindsay Norris,XXXX3973,Car,145340.23,25-05-2024,High,1,,,25-08-2024,289934.34,22720.16
SBI,Jessica Hendrix,XXXX2279,Car,174980.6,15-12-2024,Medium,,1,,19-03-2024,408509.33,44875.39
SBI,Ronald Nguyen,XXXX9169,House,65874.96,20-03-2024,Medium,1,,,22-06-2024,49080.04,3497.32
Kotak Mahindra,Sharon Young,XXXX9181,House,168849.81,07-11-2023,Low,,1,,20-07-2023,219724.64,2943.62
SBI,Catherine Miles,XXXX1605,Car,351767.9,19-02-2024,Low,,1,,22-09-2024,121562.01,5164.97
ICICI Bank,Stephanie Collins,XXXX9384,House,59732.3,07-12-2023,High,,1,,18-12-2023,337499.56,4263.37
Axis Bank,Randall Gibson,XXXX2749,House,435507.37,28-04-2025,High,1,,,22-02-2025,250659.63,5505.44
Kotak Mahindra,Michael Mack,XXXX6740,Car,214758.68,11-03-2025,High,1,,,19-10-2025,281637.72,1743.77
Axis Bank,Kristina Romero,XXXX2925,House,117832.26,22-01-2025,Medium,1,,,24-08-2025,201518.74,599.67
SBI,Rodney Perez,XXXX6703,House,119257.51,19-07-2025,High,,1,,27-07-2025,245476.3,17213
SBI,Kevin Jones,XXXX9193,Car,50258.91,10-08-2024,Low,1,,,06-07-2024,206134.86,14018.3
SBI,Scott Cantu,XXXX6199,House,246176.82,27-08-2024,High,,1,,02-04-2024,379318.66,4819.95
SBI,Christopher Cruz,XXXX3244,House,486825.71,28-09-2023,Medium,1,,,26-04-2023,190206.6,4564.51
SBI,Kelly Johnston,XXXX8170,Car,495253.87,11-05-2025,High,1,,,15-03-2025,282756.98,19834.76
Kotak Mahindra,Amy Brown,XXXX1176,House,185526.47,18-08-2023,Medium,,1,,21-02-2023,,0
HDFC Bank,Dillon Browning,XXXX7832,House,460824.03,22-09-2024,High,,1,,21-09-2024,79765.51,1400.91
Kotak Mahindra,Jackie Willis,XXXX2139,House,267052.21,08-05-2024,High,1,,,05-05-2024,,0
Kotak Mahindra,Brian Bolton,XXXX7616,Car,302107.52,22-11-2024,Low,1,,,17-02-2024,295217.82,22361.67
HDFC Bank,Jeremy Allen,XXXX6270,House,341781.95,04-03-2024,Medium,1,,,01-01-2024,81806.05,5642.33
ICICI Bank,Autumn Howard,XXXX9498,Car,128525.47,26-12-2024,High,1,,,18-02-2024,332883.19,26050.85
Kotak Mahindra,Steve Clark,XXXX6133,House,251898.26,26-07-2024,Medium,1,,,28-02-2024,,0
SBI,Samantha Hill,XXXX3770,Car,79389.25,19-03-2025,Medium,1,,,07-10-2025,50781.15,3292.14
SBI,Matthew Robinson,XXXX8943,Car,458165.95,30-01-2024,Low,1,,,04-12-2024,59104.98,5770.4
Axis Bank,Roger Smith,XXXX8218,House,463696.95,13-12-2023,Low,,1,,29-10-2023,253445.19,3421.58
HDFC Bank,Erin Anderson,XXXX7135,Car,99205.31,06-04-2025,Medium,1,,,23-01-2025,342606.31,3225.55
ICICI Bank,Jason Floyd,XXXX4431,Car,192669.85,09-05-2024,High,1,,,09-04-2024,148023.49,4706.41
SBI,Karen Hill,XXXX5810,Car,179888.07,15-04-2025,High,1,,,26-05-2025,289095.7,2206.21
Axis Bank,Kristy Sweeney,XXXX1436,House,342563.69,18-06-2024,Medium,,1,,21-02-2024,467041.34,9927.16
Axis Bank,Vickie Heath,XXXX9168,House,152875.64,10-03-2024,Low,1,,,17-12-2024,,0
SBI,Mathew Martinez,XXXX9421,House,279035.86,21-07-2025,High,,1,,26-12-2025,73738.88,3037.18
SBI,James White,XXXX5324,House,407470.73,10-02-2025,Medium,1,,,19-04-2025,,0
Axis Bank,Colleen Graves,XXXX4621,Car,249158.24,06-05-2025,Low,1,,,21-07-2025,476719.63,755.52
SBI,Alexandria Vasquez,XXXX5571,Car,282564.8,24-03-2025,Low,,,1,22-11-2025,,0
Axis Bank,Samantha Wilson,XXXX3733,Car,288187.37,09-04-2025,Low,1,,,28-03-2025,160116,3962.03
SBI,Kimberly Floyd,XXXX5110,Car,188053.43,24-10-2023,Low,1,,,16-03-2023,94665.77,7162.7
Axis Bank,James Moore,XXXX2201,House,459347.45,28-09-2024,Medium,1,,,07-10-2024,322989.86,14894.16
SBI,Karen Logan MD,XXXX8091,Car,326450.32,28-11-2023,High,,,1,02-07-2023,,0
Axis Bank,Frederick Ramirez,XXXX9275,House,360148.26,22-12-2023,Medium,1,,,07-09-2023,455666.69,7608.64
SBI,Jessica Stanley,XXXX9124,House,114632.98,04-02-2024,Low,1,,,16-08-2024,146021.81,243.7
Axis Bank,Lisa Whitehead,XXXX4280,House,281726.42,27-05-2025,Medium,1,,,24-01-2025,163490.03,1578.82
Kotak Mahindra,Zachary Griffin,XXXX8349,Car,112706.09,19-11-2023,Low,1,,,10-08-2023,,0
Kotak Mahindra,Shawn Mills,XXXX7767,House,363050.85,20-04-2025,Medium,,1,,13-03-2025,,0
ICICI Bank,Natalie Stevens,XXXX5246,Car,351180.24,12-08-2024,Low,1,,,21-08-2024,126097.22,13772.78
HDFC Bank,John Young,XXXX5008,House,394426.51,21-07-2025,Low,1,,,01-01-2025,256824.34,24483.27
ICICI Bank,Robert George,XXXX1541,Car,275124.62,09-06-2024,High,,1,,30-05-2024,134985.17,2213.63
